rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,6437.8,6038.4,0.3,6438.1,0,64660E170F2BAA4357DA2F12DEF91213,212.4,0,5121840.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,6233.5,5839.6,0.7,6234.3,1,271236B76436AF0822E6D4824CA4FCD0,204.8,0,5121288.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,13204.1,12791.9,1.2,13205.2,2,0CDC96812132FA94D979F03D818FFA74,216.7,0,3558044.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,391.5,0.0,1.5,392.9,3,6BE2EC15460A5C2CBE1E2DF949085F9D,203.6,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,12779.7,12382.4,1.7,12781.4,4,74F33C76A4A0EE00216AF07B50E74F5C,213.8,0,40782048.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,14640.9,14221.5,2.0,14642.9,5,C91D24F3CA9721A7210391435FB1072A,232.5,1,
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,12653.9,12259.8,2.3,12656.3,6,B96A43B4ACFDCF9DEAC87879EFD2EF92,206.1,0,10875992.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,13671.2,13280.9,2.6,13673.7,7,BA5A62D113F226781B4C6D5AA08282A2,206.6,0,11117728.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,12653.3,12253.7,2.8,12656.1,8,7CCA55AEE48F982BD5AA570AD8BE09EC,215.5,0,11255888.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,404.8,0.0,3.1,407.8,9,3871FAA98138D5BC27844D7DD44979CD,216.7,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,7704.4,7505.4,393.9,8098.3,3,6BE2EC15460A5C2CBE1E2DF949085F9D,198.7,0,4299244.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,217.7,0.0,408.8,626.5,9,3871FAA98138D5BC27844D7DD44979CD,217.3,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,203.3,0.0,627.3,830.7,9,3871FAA98138D5BC27844D7DD44979CD,203.0,0,
14,Salesforce,['Salesforce'],,,Salesforce_JR350960,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,203.1,0.0,831.5,1034.6,9,3871FAA98138D5BC27844D7DD44979CD,202.8,0,
15,Bundesverwaltung,['Bundesverwaltung'],,,Bundesverwaltung_10160647,ICT-System-Spezialist/-in Senior (1327),True,authentication_required,,15388.4,15182.7,1035.6,16424.1,9,3871FAA98138D5BC27844D7DD44979CD,205.1,0,16479592.0
